PERFIL FINANCIERO;EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;INMOBILIARIO, S. A.;DE LOS TRABAJADORES;INDUSTRIAL, S. A.;DE DESARROLLO RURAL, S. A.;INTERNACIONAL, S. A.;CITIBANK, N.A., SUCURSAL GUATEMALA;VIVIBANCO, S. A.;FICOHSA GUATEMALA, S. A.;PROMERICA, S. A.;DE ANTIGUA, S. A.;DE AMÉRICA CENTRAL, S. A.;AGROMERCANTIL DE GUATEMALA, S. A.;G&T CONTINENTAL, S. A.;DE CRÉDITO, S. A.;AZTECA DE GUATEMALA, S. A.;INV, S. A.
ACTIVO;4078785;1702176;26835448;101911829;76164072;10726547;2600877;728253;2697340;15654433;1402769;31016306;30465040;54821816;0;1851650;954767
DISPONIBILIDADES;164083;238933;3863220;14729403;10666180;2086535;1349205;127437;439150;2065638;181270;5671393;4458659;9486544;0;235431;133897
Caja;66147;33083;141217;1330541;2139098;301733;30064;5247;69577;265263;33498;481546;715902;1679147;0;96905;1701
Banco Central;49070;169269;3567963;9153977;7854460;1139029;359887;74450;303270;1630360;136098;4291910;2726588;5196870;0;123713;82045
Bancos del País;2025;3684;2344;0;35714;31614;29107;43198;17297;2011;10542;6523;54290;505;0;7011;48052
Bancos del Exterior;39667;11295;120365;3981251;458308;533255;924218;36;25682;83986;0;752559;741600;2396773;0;6248;0
Cheques a Compensar;7172;21603;31331;263634;174092;80033;5929;4507;23324;83763;1133;137529;209133;203486;0;1553;2100
Giros sobre el Exterior;0;0;0;0;4507;871;0;0;0;255;0;1328;11146;9762;0;0;0
INVERSIONES;1816978;389530;7897754;27276781;29037921;1576922;1178266;196853;445813;2761702;107500;2351915;2718383;19309028;0;398841;270641
En Títulos-Valores para Negociación;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
En Títulos-Valores para la Venta;1445764;39997;6432965;0;21498816;1234372;1178266;194169;348457;1771993;0;2095617;1354668;15947164;0;295841;0
En Títulos-Valores para su Vencimiento;302272;339886;1224075;26965476;6853116;115136;0;2684;78028;980807;107500;253523;1171133;80481;0;103000;265901
Operaciones de Reporto;80000;10211;247219;321592;219645;227418;0;0;15000;0;0;35000;210779;3299486;0;0;0
Certificados de Participación;0;0;0;17958;558571;0;0;0;0;0;0;0;0;0;0;0;0
Intereses Pagados en Compra de Valores;165;0;292;2844;2869;0;0;0;4329;8902;0;399;820;5374;0;0;4740
SUMA;1828201;390095;7904550;27307870;29133018;1576926;1178266;196853;445813;2761702;107500;2384540;2737401;19332505;0;398841;270641
(-) Estimaciones por Valuación;11223;565;6796;31089;95096;4;0;0;0;0;0;32625;19018;23477;0;0;0
CARTERA DE CRÉDITOS;1332188;961917;14225164;55636584;33360803;6746958;4508;336224;1644066;9858272;980894;22245370;22557194;23422787;0;1123746;505657
Vigente;1367357;963913;14299037;56192669;34076669;6849840;4972;337120;1644208;9976978;1034196;22250149;22728287;23700748;0;1123746;507004
Vencidos;204652;11724;194868;539001;1614125;57735;7;3451;39906;126601;9938;374988;461015;540980;0;21298;4350
SUMA;1572009;975637;14493905;56731671;35690794;6907575;4979;340571;1684114;10103579;1044134;22625137;23189302;24241729;0;1145044;511354
(-) Estimaciones Por Valuación;239821;13721;268741;1095087;2329990;160618;472;4347;40048;245307;63240;379767;632108;818941;0;21298;5697
PRODUCTOS FINANCIEROS POR COBRAR;31125;11246;388379;563560;651189;53543;29267;3865;19256;86843;25481;172388;133853;342267;0;13968;9490
CUENTAS POR COBRAR (Neto);270774;7871;19715;493573;122956;43638;28863;9760;7850;254840;29102;208096;74728;251007;0;13489;12320
BIENES REALIZABLES (Neto);64063;10889;38138;99522;366137;30021;0;15790;3173;66337;0;56719;154516;216429;0;0;424
INVERSIONES PERMANENTES (Neto);3321;3781;73886;588895;538069;51285;180;13984;3214;944;0;39479;55873;961128;0;0;510
OTRAS INVERSIONES (Neto);2493;0;0;294682;98753;712;0;97;250;0;700;5710;16920;27016;0;0;0
SUCURSALES, CASA MATRIZ Y DEPARTAMENTOS ADSCRITOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
INMUEBLES Y MUEBLES (Neto);280650;64449;195388;1486266;493968;83833;8323;21964;93425;426225;2634;182941;207367;631560;0;47732;20617
CARGOS DIFERIDOS (Neto);113110;13561;133804;742564;828097;53101;2264;2280;41143;133633;75189;82296;87545;174050;0;18442;1211
PASIVO;3915023;1396946;23439899;93804475;68617171;9804260;2253455;575634;2420960;14202134;1197693;27990311;27875954;50084259;0;1217515;836932
OBLIGACIONES DEPOSITARIAS;3012951;1359327;21011014;69305535;62703908;8719991;2156867;532140;2052353;12630244;1110406;25491607;21290296;40864939;0;1009284;436325
Depósitos Monetarios;1150104;359772;1361085;30156150;21972244;3171274;2086088;63366;283483;2557226;0;11358185;6760371;17033938;0;550417;13042
Depósitos de Ahorro;733664;303030;2624305;15364415;19050270;1685681;0;137957;101021;1180467;76469;3319801;5632342;12379178;0;0;27329
Depósitos a Plazo;1112470;694080;17001932;23452428;21387333;3818455;62835;329922;1666702;8851926;1033034;10761308;8779098;11316488;0;452290;395913
Depósitos a la Orden;4643;214;13;28077;206779;20997;0;51;5;3968;621;12509;53900;0;0;33;0
Depósitos con Restricciones;12069;2231;23679;304465;87281;23584;7944;844;1143;36657;282;39805;64586;135335;0;6544;41
CRÉDITOS OBTENIDOS;0;0;1156866;21655678;3299941;804407;0;8009;239827;726900;0;1802711;5726486;7444234;0;0;14654
Del Banco Central;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
De Instituciones Financieras Nacionales;0;0;0;0;0;0;0;0;204562;0;0;0;0;0;0;0;14654
De Instituciones Financieras Extranjeras;0;0;1156866;21529017;3299941;650159;0;8009;35265;451455;0;1785572;4762431;6962396;0;0;0
Organismos Internacionales;0;0;0;126660;0;154249;0;0;0;275444;0;17139;964055;481839;0;0;0
OBLIGACIONES FINANCIERAS;1280;0;0;65800;0;400;0;0;35050;0;0;0;6306;0;0;0;367816
GASTOS FINANCIEROS POR PAGAR;28636;9154;12722;445837;264019;42688;8;1370;5702;96642;9338;149895;205429;104702;0;4316;2917
CUENTAS POR PAGAR;777502;18156;712245;717137;1194214;105877;55340;13345;56344;185862;33630;290014;353816;514216;0;73773;11138
PROVISIONES;52208;2284;100714;60879;660417;47983;41191;1936;25998;45524;18760;58792;141975;32973;0;80762;1723
SUCURSALES, CASA MATRIZ Y DEPARTAMENTOS ADSCRITOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OTRAS OBLIGACIONES;0;0;0;1426801;0;23137;0;0;0;424184;0;0;0;964055;0;0;0
CRÉDITOS DIFERIDOS;4731;3811;114360;83570;77737;28557;49;5953;4870;35604;82;36183;92522;57184;0;37632;505
SUMA;3877307;1392733;23107921;93761236;68200236;9773041;2253455;562752;2420144;14144959;1172215;27829202;27816831;49982303;0;1205767;835079
OTRAS CUENTAS ACREEDORAS;37716;4214;331978;43239;416935;31219;0;12882;816;57175;25477;161108;59123;101956;0;11748;1854
CAPITAL CONTABLE;163763;305230;3395549;8107354;7546901;922287;347422;152619;276380;1452300;205077;3025996;2589086;4737557;0;634135;117835
CAPITAL PAGADO;15000;289606;199838;2404594;1170334;641790;84982;126500;207718;598159;125176;1029766;1233375;2268012;0;105001;109000
Capital Autorizado;15000;600000;200000;4000000;5000000;1000000;0;300000;450000;1500000;160000;2800000;2000000;3000000;0;200000;500000
(-) Capital No Pagado;0;310394;162;1595406;3829666;358210;0;173500;242282;901841;34824;1770234;766625;731988;0;94999;391000
Casa Matriz, Capital Asignado;0;0;0;0;0;0;84982;0;0;0;0;0;0;0;0;0;0
APORTACIONES PERMANENTES;219653;0;8;1525755;55740;41;0;0;0;0;0;0;510498;553476;0;0;0
RESERVA DE CAPITAL;788589;13895;2909007;3550385;6138099;234895;35048;12136;14721;429311;11137;384523;345015;1736155;0;494499;841
