PERFIL FINANCIERO;EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;INMOBILIARIO, S. A.;DE LOS TRABAJADORES;INDUSTRIAL, S. A.;DE DESARROLLO RURAL, S. A.;INTERNACIONAL, S. A.;CITIBANK, N.A., SUCURSAL GUATEMALA;VIVIBANCO, S. A.;FICOHSA GUATEMALA, S. A.;PROMERICA, S. A.;DE ANTIGUA, S. A.;DE AMÉRICA CENTRAL, S. A.;AGROMERCANTIL DE GUATEMALA, S. A.;G&T CONTINENTAL, S. A.;AZTECA DE GUATEMALA, S. A.;INV, S. A.;CREDICORP, S. A.
ACTIVO;5534610;2037961;28676074;112362517;87432128;11439168;4312208;765152;3165145;18026749;1536311;34464484;32333473;56565789;1936622;913513;493224
DISPONIBILIDADES;636174;350251;3727626;14441037;12504999;1697995;1001794;128789;522740;2134387;202562;5966903;4523517;8621585;251277;140182;108164
Caja;84106;52902;140026;1314546;2386741;340313;37307;7593;63854;254649;28052;496880;741895;1329108;109758;951;1699
Banco Central;465774;231857;3429968;10968463;9402159;1181944;490604;77569;363552;1516309;165302;4342704;3109089;5597496;133447;108616;66690
Bancos del País;43185;12090;6020;0;43145;36589;10506;39488;8419;68789;6383;5009;66687;20781;3481;19821;36920
Bancos del Exterior;34074;17043;115428;1798386;498055;47464;452913;36;64946;211403;0;956879;437849;1279986;4226;847;0
Cheques a Compensar;9035;36359;36183;359641;168365;91029;10464;4103;21969;82692;2824;160759;165214;385763;365;9946;2709
Giros sobre el Exterior;0;0;0;0;6533;657;0;0;0;545;0;4672;2784;8451;0;0;147
INVERSIONES;2344880;566082;8401612;35071463;37674832;2704768;3236356;267783;595661;3969662;356000;4012097;3580842;22812077;290741;297642;336300
En Títulos-Valores para Negociación;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
En Títulos-Valores para la Venta;2033770;40224;6827971;0;24792538;2285484;3234946;265209;483974;2458414;0;3630966;1994533;19150185;148741;0;31350
En Títulos-Valores para su Vencimiento;320823;516272;1232532;34426429;12115735;179268;0;2575;64594;1506788;356000;275105;1253685;138403;117000;280752;305437
Operaciones de Reporto;0;10151;347287;663474;329551;240020;0;0;45000;0;0;133931;357000;3559520;25000;12542;0
Certificados de Participación;0;0;0;15958;528571;0;0;0;0;0;0;0;0;0;0;0;0
Intereses Pagados en Compra de Valores;1511;0;616;6702;3533;0;1410;0;2094;4459;0;4708;854;196;0;4348;0
SUMA;2356104;566647;8408407;35112562;37769928;2704772;3236356;267783;595661;3969662;356000;4044710;3606072;22848304;290741;297642;336787
(-) Estimaciones por Valuación;11223;565;6796;41099;95096;4;0;0;0;0;0;32613;25231;36227;0;0;486
CARTERA DE CRÉDITOS;1664747;999860;15679870;58444268;34071034;6696951;11567;297149;1851336;10874264;832565;23845152;23535207;22362986;1267133;432607;28844
Vigente;1677099;1002365;15839603;59298751;35104887;6834172;12037;300733;1852764;11122066;816245;23880069;23747605;22881495;1277133;435038;29388
Vencidos;183211;14141;313571;450085;1609397;62706;0;2215;74798;33287;71160;464146;475293;397674;73069;5851;984
SUMA;1860310;1016507;16153174;59748836;36714284;6896877;12037;302948;1927562;11155353;887405;24344215;24222898;23279169;1350202;440890;30372
(-) Estimaciones Por Valuación;195563;16646;473304;1304569;2643250;199926;470;5799;76226;281089;54840;499063;687691;916183;83069;8282;1527
PRODUCTOS FINANCIEROS POR COBRAR;47830;8458;368173;553603;766040;60132;28461;2794;12275;90060;30376;183932;156310;349291;21888;5046;2180
CUENTAS POR COBRAR (Neto);293121;9262;24413;511691;32830;71026;24377;10646;30642;158338;24703;127924;68701;548501;33203;15945;7199
BIENES REALIZABLES (Neto);67963;8049;31602;75360;276159;19587;0;21130;3551;87442;83;40928;51923;127318;0;430;2845
INVERSIONES PERMANENTES (Neto);4423;3781;73886;588895;695502;51484;180;13984;3572;944;0;39382;52972;961128;0;510;0
OTRAS INVERSIONES (Neto);3769;0;0;299221;100524;1051;0;88;289;0;772;5520;17526;27217;0;0;1072
SUCURSALES, CASA MATRIZ Y DEPARTAMENTOS ADSCRITOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
INMUEBLES Y MUEBLES (Neto);273043;75481;239302;1659469;470804;79168;7501;20875;102866;561451;2977;183617;227041;594612;46675;20703;3281
CARGOS DIFERIDOS (Neto);198659;16736;129591;717510;839404;57006;1972;1914;42213;150201;86274;59027;119434;161075;25705;448;3338
PASIVO;5253869;1700380;24692534;103842371;79520305;10393588;3944125;612169;2838471;16379000;1340610;31362892;29487991;51398575;1317803;792712;440444
OBLIGACIONES DEPOSITARIAS;4309556;1644912;23206051;81064581;72993894;9208853;3731272;577239;2557180;14419749;1262070;29728925;24280721;45585417;1082266;700594;389286
Depósitos Monetarios;2097865;427332;1561852;35982801;26602520;3531311;3274324;75611;473473;2960014;0;14602593;7736072;19490999;578307;28647;17313
Depósitos de Ahorro;775771;341357;3956260;18080510;22934756;1829263;0;186720;169504;1543777;76343;4076169;6898575;14314476;0;36710;14776
Depósitos a Plazo;1419848;871995;17665276;26638212;23091131;3807909;451081;313939;1912958;9873699;1184664;10980475;9502548;11592351;496952;635196;357197
Depósitos a la Orden;4632;1980;13;27208;254989;12474;0;52;20;3930;718;17636;76615;0;33;0;0
Depósitos con Restricciones;11439;2248;22650;335851;110498;27896;5868;917;1224;38328;345;52053;66911;187590;6974;41;0
CRÉDITOS OBTENIDOS;0;0;0;17381716;3107047;888356;115772;4005;125000;935060;0;774364;4129194;4154727;0;19295;0
Del Banco Central;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
De Instituciones Financieras Nacionales;0;0;0;0;0;0;0;0;125000;0;0;0;0;0;0;0;0
De Instituciones Financieras Extranjeras;0;0;0;17269790;3107047;849765;115772;4005;0;720055;0;2552;2855704;4154727;0;19295;0
Organismos Internacionales;0;0;0;111927;0;38591;0;0;0;215005;0;771812;1273490;0;0;0;0
