PERFIL FINANCIERO;EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;INMOBILIARIO, S. A.;DE LOS TRABAJADORES;INDUSTRIAL, S. A.;DE DESARROLLO RURAL, S. A.;INTERNACIONAL, S. A.;CITIBANK, N.A., SUCURSAL GUATEMALA;VIVIBANCO, S. A.;FICOHSA GUATEMALA, S. A.;PROMERICA, S. A.;DE ANTIGUA, S. A.;DE AMÉRICA CENTRAL, S. A.;AGROMERCANTIL DE GUATEMALA, S. A.;G&T CONTINENTAL, S. A.;DE CRÉDITO, S. A.;AZTECA DE GUATEMALA, S. A.;INV, S. A.
ACTIVO;5010882;1870560;28485681;103330661;81648473;10648831;3593984;763408;2685798;16534706;1431588;33393617;30753456;54885439;0;2011023;936259
DISPONIBILIDADES;495591;288760;4335093;12935675;10563555;1280372;1392561;160693;334901;2703367;177436;4850380;3530500;7859000;0;273352;101020
Caja;55906;39266;125198;1227033;1728462;348657;31027;5451;76855;372871;41874;555247;752185;1345932;0;108046;1918
Banco Central;347709;225550;4074282;8557582;8373882;743117;371753;72088;241876;1723914;127942;3001267;2175283;4008917;0;103379;74358
Bancos del País;40048;8755;20;0;35532;30257;2042;75801;2668;982;5074;23756;52246;44725;0;7245;23490
Bancos del Exterior;41203;9746;121194;2875199;318212;82330;965515;36;8118;558054;0;1128750;348296;2244291;0;53522;2
Cheques a Compensar;10725;5442;14400;275862;106504;75205;22224;7316;5385;46197;2547;139411;199188;208195;0;1161;1252
Giros sobre el Exterior;0;0;0;0;962;805;0;0;0;1349;0;1949;3303;6941;0;0;0
INVERSIONES;2369423;513105;8630770;29376634;34328043;2474772;2113844;218238;449085;3028162;214000;6082465;4849544;22312446;0;465000;303868
En Títulos-Valores para Negociación;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
En Títulos-Valores para la Venta;2041481;41654;6869298;0;24340089;1271299;2113646;212289;327117;1988693;0;3989298;3591177;18784177;0;0;0
En Títulos-Valores para su Vencimiento;309029;461806;1480167;29261249;8960717;1066976;0;5949;85906;1011218;214000;2057003;1192424;80479;0;465000;289208
Operaciones de Reporto;30000;10210;280375;106420;542569;136000;0;0;30000;20000;0;65920;80391;3455426;0;0;10000
Certificados de Participación;0;0;0;15958;558571;0;0;0;0;0;0;0;0;0;0;0;0
Intereses Pagados en Compra de Valores;136;0;7725;24096;21193;500;198;0;6062;8250;0;2869;7672;19477;0;0;4660
