PERFIL FINANCIERO;EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;INMOBILIARIO, S. A.;DE LOS TRABAJADORES;INDUSTRIAL, S. A.;DE DESARROLLO RURAL, S. A.;INTERNACIONAL, S. A.;CITIBANK, N.A., SUCURSAL GUATEMALA;VIVIBANCO, S. A.;FICOHSA GUATEMALA, S. A.;PROMERICA, S. A.;DE ANTIGUA, S. A.;DE AMÉRICA CENTRAL, S. A.;AGROMERCANTIL DE GUATEMALA, S. A.;G&T CONTINENTAL, S. A.;AZTECA DE GUATEMALA, S. A.;INV, S. A.;CREDICORP, S. A.
ACTIVO;5701976;1987348;27839545;109248691;85157529;11180537;4824523;775345;3063499;17485138;1467480;34480915;31812010;55751644;1934437;930519;425317
DISPONIBILIDADES;1969662;378157;3452243;16300344;13660032;1818965;2960197;174497;655726;2662020;198899;6260931;4988698;9086472;288583;133883;39536
Caja;90799;51482;180614;1639810;2440989;444884;33324;6927;112335;584950;47679;813285;995665;1760734;140335;1108;1700
Banco Central;1544594;285747;3171909;12331993;10585539;1086259;2349906;73414;500187;1871067;142291;4341392;3377036;5852589;139197;97804;18084
Bancos del País;253840;11858;6375;0;29440;31408;1948;81224;6736;25185;8149;43493;78938;2000;3177;29524;18044
Bancos del Exterior;38081;14005;70594;1963567;431390;160284;571650;36;17824;109773;0;859925;393286;1210863;5694;86;0
Cheques a Compensar;42348;15066;22752;364974;172414;95853;3368;12896;18643;70831;780;165665;141870;257179;180;5362;1488
Giros sobre el Exterior;0;0;0;0;260;276;0;0;0;214;0;37171;1904;3107;0;0;220
INVERSIONES;1518083;480339;8488611;31694619;34727894;2285899;1798886;224293;408156;3552805;281000;4551174;3725734;21374267;277785;269902;319327
En Títulos-Valores para Negociación;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
En Títulos-Valores para la Venta;1213845;40931;6798736;0;24256586;2113962;1798886;221660;336712;2557212;0;3839565;2385381;17909966;148785;0;19328
En Títulos-Valores para su Vencimiento;315325;429726;1193364;31291719;9636525;171627;0;2633;70097;995593;281000;706458;1229638;139949;129000;265548;300487
