PERFIL FINANCIERO;EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;INMOBILIARIO, S. A.;DE LOS TRABAJADORES;INDUSTRIAL, S. A.;DE DESARROLLO RURAL, S. A.;INTERNACIONAL, S. A.;CITIBANK, N.A., SUCURSAL GUATEMALA;VIVIBANCO, S. A.;FICOHSA GUATEMALA, S. A.;PROMERICA, S. A.;DE ANTIGUA, S. A.;DE AMÉRICA CENTRAL, S. A.;AGROMERCANTIL DE GUATEMALA, S. A.;G&T CONTINENTAL, S. A.;AZTECA DE GUATEMALA, S. A.;INV, S. A.;CREDICORP, S. A.
ACTIVO;5231404;2037146;28121453;109911171;85620311;11322296;4594835;788552;3031790;17969928;1488318;34701142;31855324;56554430;1911075;929271;430598
DISPONIBILIDADES;510518;322257;3509373;15187645;12284339;1642062;1490999;184001;492302;2642271;201725;6185182;4242593;8060361;287815;125051;30237
Caja;92800;38911;133171;1352687;2179111;375892;36361;7428;51345;366522;25269;654218;993419;1364248;145161;888;1513
Banco Central;314727;233190;3231522;9866942;9353159;1049079;614760;76122;361297;1380635;165512;4214139;2801898;4756531;131138;91447;23474
Bancos del País;40132;11545;17;0;42386;30356;5515;83781;2575;1696;7356;9355;42541;0;5204;28531;3713
Bancos del Exterior;42287;13308;116930;3551304;478635;77286;829104;36;61685;779694;0;1133965;235089;1666523;4907;124;0
Cheques a Compensar;20573;25302;27732;416677;228936;108449;5258;16634;15400;112858;3588;170180;163325;234937;1404;4060;1376
Giros sobre el Exterior;0;0;0;36;2112;1001;0;0;0;866;0;3326;6320;38122;0;0;161
INVERSIONES;2452726;591032;8578808;33335732;36358244;2707448;3037068;238635;546588;3933206;301000;4955001;3815527;23275311;268785;266533;322580
En Títulos-Valores para Negociación;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
En Títulos-Valores para la Venta;2148838;40814;6765286;0;24198639;2354913;3037068;236011;427589;2941751;0;4036424;2598815;19870918;148785;0;19199
En Títulos-Valores para su Vencimiento;314975;540554;1278183;33143325;11141338;175526;0;2624;69240;991455;301000;914344;1237976;139771;120000;262183;303869
Operaciones de Reporto;0;10229;542135;207374;584793;176700;0;0;48893;0;0;36750;0;3300694;0;0;0
