PERFIL FINANCIERO;EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;INMOBILIARIO, S. A.;DE LOS TRABAJADORES;INDUSTRIAL, S. A.;DE DESARROLLO RURAL, S. A.;INTERNACIONAL, S. A.;CITIBANK, N.A., SUCURSAL GUATEMALA;VIVIBANCO, S. A.;FICOHSA GUATEMALA, S. A.;PROMERICA, S. A.;DE ANTIGUA, S. A.;DE AMÉRICA CENTRAL, S. A.;AGROMERCANTIL DE GUATEMALA, S. A.;G&T CONTINENTAL, S. A.;AZTECA DE GUATEMALA, S. A.;INV, S. A.;CREDICORP, S. A.
ACTIVO;5393023;1981535;28133805;109003615;86213140;11317515;4336361;790974;3154878;17855222;1509598;34902032;31969271;56947898;1911612;932459;447673
DISPONIBILIDADES;521467;309523;3581081;13314943;11710748;1704344;1209929;170104;533289;2001633;199282;6170222;4250059;8475367;275862;163888;60921
Caja;88930;41481;144108;1098511;2202620;384951;36627;4923;70385;343865;23326;639308;946438;1370499;136388;1540;1103
Banco Central;241646;210128;3264510;10253667;8891730;1022978;561527;78415;373681;1150066;166598;4232797;2843399;4719568;130729;124998;23225
Bancos del País;40321;11626;2139;0;41997;30660;2106;79205;12705;1983;8288;7052;49470;0;3536;28249;21954
Bancos del Exterior;39532;13387;116529;1439527;362274;106400;601006;421;28556;395525;0;1111427;208667;2108264;4391;855;0
Cheques a Compensar;111038;32901;53794;523238;206840;158867;8664;7139;47962;109048;1070;178375;197211;267672;819;8245;14416
Giros sobre el Exterior;0;0;0;0;5288;488;0;0;0;1146;0;1263;4874;9364;0;0;223
INVERSIONES;2515971;552910;8357471;33733414;37243119;2689254;3060707;252750;596990;4194679;324000;4716627;3966064;23388327;258785;276370;326916
En Títulos-Valores para Negociación;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
En Títulos-Valores para la Venta;2168761;40722;6656294;0;24074413;2353312;3060707;250159;482024;3138643;0;4242798;2738220;19935749;148785;0;18688
En Títulos-Valores para su Vencimiento;316923;502503;1098558;33563106;12333698;240946;0;2591;67524;1053880;324000;469312;1252186;138342;110000;271890;308714
Operaciones de Reporto;40000;10251;609414;186956;401533;95000;0;0;45000;0;0;36750;0;3350299;0;0;0
Certificados de Participación;0;0;0;15958;528571;0;0;0;0;0;0;0;0;0;0;0;0
Intereses Pagados en Compra de Valores;1511;0;0;484;0;0;0;0;2442;2156;0;391;889;164;0;4480;0
SUMA;2527195;553476;8364266;33766504;37338215;2689258;3060707;252750;596990;4194679;324000;4749251;3991295;23424554;258785;276370;327402
(-) Estimaciones por Valuación;11223;565;6796;33089;95096;4;0;0;0;0;0;32625;25231;36227;0;0;486
CARTERA DE CRÉDITOS;1613941;991555;15234149;57367493;33990760;6581996;12961;296701;1811544;10512746;829344;23413196;22999909;22195964;1265278;450376;28729
Vigente;1652724;995461;15434812;58232681;34844855;6723344;13427;300337;1814483;10860644;877453;23513537;23177087;22750672;1273278;454030;28787
Vencidos;166048;12522;265735;504627;1561021;58515;0;2163;54344;6353;6431;381748;586841;375920;69188;4638;1469
SUMA;1818772;1007983;15700547;58737308;36405876;6781858;13427;302500;1868826;10866997;883884;23895286;23763928;23126592;1342465;458668;30256
(-) Estimaciones Por Valuación;204831;16428;466398;1369815;2415116;199862;467;5799;57282;354251;54540;482089;764019;930628;77188;8292;1527
PRODUCTOS FINANCIEROS POR COBRAR;34892;15338;396406;769442;847041;61007;19705;1248;20038;119783;39134;184095;178715;394798;19808;4925;2538
CUENTAS POR COBRAR (Neto);244645;8725;40098;550041;39773;70009;9470;11935;32365;214301;30144;104911;69465;557027;31889;14477;6475
BIENES REALIZABLES (Neto);71508;8392;34205;74285;274539;21501;0;21176;3551;85940;83;40789;89386;143053;0;424;2488
INVERSIONES PERMANENTES (Neto);3420;3781;73886;588895;695502;51484;180;13984;3572;944;0;39954;55308;961128;0;510;0
OTRAS INVERSIONES (Neto);3551;0;0;324157;101656;1161;0;81;6062;0;771;5885;17137;27971;0;0;12797
SUCURSALES, CASA MATRIZ Y DEPARTAMENTOS ADSCRITOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
INMUEBLES Y MUEBLES (Neto);274574;75994;242300;1505623;472748;80606;7815;21066;101941;570185;2709;184806;222627;602708;48158;20821;3329
CARGOS DIFERIDOS (Neto);109054;15316;174209;775323;837255;56152;15595;1931;45526;155011;84131;41546;120602;201556;11831;669;3479
PASIVO;5139261;1648941;24278645;99780819;78154425;10261023;3987399;639899;2832356;16210741;1328401;31855188;29315476;51758293;1321946;813083;396504
OBLIGACIONES DEPOSITARIAS;4210634;1593197;23032238;77434315;71879993;9169661;3865983;602188;2575154;14220281;1234336;29855809;24180842;44887407;1100921;705566;144570
Depósitos Monetarios;2095590;404339;1596789;34168663;26723180;3507309;3309562;88884;623475;3125925;0;14337707;7792214;19472735;613316;25589;13344
Depósitos de Ahorro;784845;342155;3702580;17571221;22484801;1827905;0;189175;158741;1339548;73269;3971282;6598550;14102106;0;24576;5137
Depósitos a Plazo;1313845;839709;17711142;25338032;22396897;3794774;551079;323184;1791706;9712491;1159916;11485287;9665455;11166985;480768;655360;126089
Depósitos a la Orden;4798;4738;14;26550;168283;14571;0;51;14;4715;806;16617;56930;0;33;0;0
Depósitos con Restricciones;11555;2256;21713;329849;106831;25102;5341;894;1218;37603;344;44916;67693;145582;6803;41;0
CRÉDITOS OBTENIDOS;0;0;0;16896823;3124344;810239;0;4451;114648;933982;0;874417;4055050;5051420;0;15418;0
Del Banco Central;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
De Instituciones Financieras Nacionales;0;0;0;0;0;0;0;0;100000;0;0;0;0;0;0;0;0
De Instituciones Financieras Extranjeras;0;0;0;16776799;3124344;771693;0;4451;14648;719225;0;103495;2783028;5051420;0;15418;0
Organismos Internacionales;0;0;0;120024;0;38546;0;0;0;214757;0;770922;1272021;0;0;0;0
OBLIGACIONES FINANCIERAS;35498;0;0;0;0;400;0;0;38200;0;0;0;6306;0;0;51781;199230
GASTOS FINANCIEROS POR PAGAR;24483;9690;11786;322478;228310;36800;2502;1477;4950;87572;8756;154105;222567;88073;3926;2234;2627
CUENTAS POR PAGAR;768372;31914;670525;890988;1673102;111011;74860;15071;65134;360384;36006;685948;434331;611288;75454;14968;9157
PROVISIONES;48389;1700;115940;46973;675257;52859;43968;2474;25290;59054;10188;64005;140019;32420;78174;2644;2991
SUCURSALES, CASA MATRIZ Y DEPARTAMENTOS ADSCRITOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OTRAS OBLIGACIONES;0;0;0;3738972;0;23128;0;0;0;424007;0;0;0;886560;0;19000;0
CRÉDITOS DIFERIDOS;8553;4698;110096;95232;86021;26890;85;3827;6502;36981;10;45896;111980;52357;44778;673;32126
SUMA;5095928;1641198;23940586;99425782;77667026;10230988;3987399;629487;2829878;16122262;1289296;31680181;29151095;51609525;1303253;812284;390701
OTRAS CUENTAS ACREEDORAS;43333;7744;338059;355037;487398;30034;0;10411;2479;88479;39105;175007;164381;148768;18693;799;5803
CAPITAL CONTABLE;253763;332593;3855160;9222797;8058715;1056493;348962;151075;322522;1644481;181196;3046844;2653795;5189605;589666;119376;51169
