PERFIL FINANCIERO;EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;INMOBILIARIO, S. A.;DE LOS TRABAJADORES;INDUSTRIAL, S. A.;DE DESARROLLO RURAL, S. A.;INTERNACIONAL, S. A.;CITIBANK, N.A., SUCURSAL GUATEMALA;VIVIBANCO, S. A.;FICOHSA GUATEMALA, S. A.;PROMERICA, S. A.;DE ANTIGUA, S. A.;DE AMÉRICA CENTRAL, S. A.;AGROMERCANTIL DE GUATEMALA, S. A.;G&T CONTINENTAL, S. A.;DE CRÉDITO, S. A.;AZTECA DE GUATEMALA, S. A.;INV, S. A.
ACTIVO;5374711;1880192;27573137;102437607;80592750;10533550;3518186;728939;2642603;16373199;1414456;32812508;30013330;54956638;0;1957528;945003
DISPONIBILIDADES;1416115;301788;3760961;12770252;11452433;1598282;1357237;128372;375096;2000057;176042;4732826;3951144;8937160;0;199986;135068
Caja;89043;34613;132129;1496400;2231588;317531;25385;5872;61306;362590;33035;530637;719606;1386061;0;91442;2081
Banco Central;993419;243141;3489841;8272631;8308231;847270;415952;65905;280387;1470103;136796;3617384;2591324;4933331;0;91180;104421
Bancos del País;287904;6334;690;0;36196;30436;12163;47440;6961;699;4414;23261;62250;22055;0;9845;23082
Bancos del Exterior;40871;7266;117860;2765854;732175;324260;895894;36;19446;104819;0;327001;458344;2371225;0;7320;43
Cheques a Compensar;4878;10434;20441;235367;140495;78443;7843;9119;6997;58596;1797;232907;117437;195893;0;198;5442
Giros sobre el Exterior;0;0;0;0;3748;342;0;0;0;3250;0;1635;2183;28595;0;0;0
INVERSIONES;1827475;502503;8436665;28811100;32753577;2103534;2104064;210814;421293;3444183;185000;5525356;3540079;21092902;0;507771;280051
En Títulos-Valores para Negociación;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
En Títulos-Valores para la Venta;1475760;41806;6865119;0;24612890;1271136;2103172;205164;298411;2424816;0;3979158;2367682;17407631;0;0;0
En Títulos-Valores para su Vencimiento;307802;451056;1210769;28690471;7209381;701902;0;5651;86822;1011118;185000;1506947;1182993;80301;0;507771;274737
Operaciones de Reporto;55000;10207;359849;116641;446637;130000;0;0;30000;0;0;65835;0;3610496;0;0;0
Certificados de Participación;0;0;0;17958;558571;0;0;0;0;0;0;0;0;0;0;0;0
Intereses Pagados en Compra de Valores;136;0;7724;17119;21193;500;892;0;6060;8250;0;6041;10969;19695;0;0;5314
SUMA;1838698;503068;8443461;28842189;32848673;2103538;2104064;210814;421293;3444183;185000;5557981;3561645;21118122;0;507771;280051
(-) Estimaciones por Valuación;11223;565;6796;31089;95096;4;0;0;0;0;0;32625;21566;25220;0;0;0
CARTERA DE CRÉDITOS;1417158;948903;14492498;56369321;33050515;6497721;3824;315173;1669090;10039769;898038;21875912;21735183;22164606;0;1141963;483654
Vigente;1473964;951749;14618064;57035337;33678371;6616723;4296;315866;1671456;10169275;960358;21878126;21978754;22512019;0;1149463;485109
Vencidos;188242;10635;153402;570419;1753599;56327;0;3323;34396;111436;8920;398020;389529;503781;0;17851;4343
SUMA;1662206;962385;14771465;57605757;35431970;6673051;4296;319189;1705852;10280711;969278;22276146;22368283;23015800;0;1167315;489452
(-) Estimaciones Por Valuación;245047;13482;278968;1236435;2381455;175329;472;4016;36762;240941;71240;400233;633099;851194;0;25351;5798
PRODUCTOS FINANCIEROS POR COBRAR;44426;12665;399468;536008;774550;63954;22661;3397;15229;152424;39200;232410;219556;331808;0;22076;8174
CUENTAS POR COBRAR (Neto);227146;8822;22351;674687;283387;53157;15404;11615;13874;116029;34041;51554;51813;464478;0;15943;15299
BIENES REALIZABLES (Neto);59377;9899;39681;89642;322230;28289;0;21449;3108;64987;59;52782;133474;176260;0;0;424
INVERSIONES PERMANENTES (Neto);3321;3781;73886;588895;538069;51285;180;13984;3214;944;0;39478;55873;961128;0;0;510
OTRAS INVERSIONES (Neto);2490;0;0;351432;96872;786;0;77;279;0;771;5743;16819;28056;0;0;0
SUCURSALES, CASA MATRIZ Y DEPARTAMENTOS ADSCRITOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
INMUEBLES Y MUEBLES (Neto);278202;77715;203935;1502808;493807;84550;7861;21785;97412;416771;2364;182616;209012;619021;0;45906;20659
CARGOS DIFERIDOS (Neto);98999;14116;143692;743461;827309;51992;6954;2274;44009;138035;78941;113831;100377;181218;0;23884;1164
PASIVO;5198353;1558498;23964884;93973637;72912167;9575903;3134826;574227;2353138;14701946;1208736;29751545;27371678;50169555;0;1309205;825703
OBLIGACIONES DEPOSITARIAS;3387766;1454601;21703929;70783602;66928918;8927242;3008417;526099;2184158;13224514;1151399;27576947;21922477;42385567;0;1084297;503157
Depósitos Monetarios;1541256;366011;1578922;30705459;24143276;2952105;2906770;56971;326824;2855950;0;11802155;6777989;17889597;0;610785;13853
Depósitos de Ahorro;754363;347504;3018593;16417308;20511238;1837127;0;148269;124118;1157907;73106;3501885;6387196;13044297;0;0;20592
Depósitos a Plazo;1077953;738641;17082746;23330413;22003726;4097575;93704;319952;1732057;9170776;1077389;12221462;8642941;11315547;0;466898;468671
Depósitos a la Orden;2416;214;13;27546;180233;14500;0;52;5;3451;621;11937;50114;0;0;33;0
Depósitos con Restricciones;11777;2231;23655;302875;90445;25934;7944;856;1154;36430;283;39507;64238;136126;0;6580;41
CRÉDITOS OBTENIDOS;0;0;1156307;20473954;3237340;394686;0;6569;54727;667923;0;1362524;4644498;6099455;0;0;22355
Del Banco Central;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
De Instituciones Financieras Nacionales;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14647
De Instituciones Financieras Extranjeras;0;0;1156307;20183470;3237340;356142;0;6569;54727;403624;0;1345393;3680909;6041828;0;0;7709
Organismos Internacionales;0;0;0;290484;0;38544;0;0;0;264299;0;17130;963589;57627;0;0;0
OBLIGACIONES FINANCIERAS;1280;0;0;65800;0;400;0;0;35050;0;0;0;6306;0;0;0;248912
GASTOS FINANCIEROS POR PAGAR;21479;8535;37542;301679;239642;40980;5;1401;4835;87127;8304;126747;193589;113702;0;4359;4735
CUENTAS POR PAGAR;1690060;85749;527030;748249;1340973;83896;84301;21426;50859;166281;36004;392717;277632;488832;0;76926;6133
PROVISIONES;49304;1419;99618;42686;617370;47897;42046;1796;17891;36753;12984;53872;129708;22085;0;71799;1686
SUCURSALES, CASA MATRIZ Y DEPARTAMENTOS ADSCRITOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OTRAS OBLIGACIONES;0;0;0;1426111;0;23126;0;0;0;423979;0;0;0;963589;0;0;37000
