PERFIL FINANCIERO;EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;INMOBILIARIO, S. A.;DE LOS TRABAJADORES;INDUSTRIAL, S. A.;DE DESARROLLO RURAL, S. A.;INTERNACIONAL, S. A.;CITIBANK, N.A., SUCURSAL GUATEMALA;VIVIBANCO, S. A.;FICOHSA GUATEMALA, S. A.;PROMERICA, S. A.;DE ANTIGUA, S. A.;DE AMÉRICA CENTRAL, S. A.;AGROMERCANTIL DE GUATEMALA, S. A.;G&T CONTINENTAL, S. A.;DE CRÉDITO, S. A.;AZTECA DE GUATEMALA, S. A.;INV, S. A.
ACTIVO;5728246;1841951;27575062;102051627;79791131;10499874;3408255;721420;2634629;16212071;1402499;32977377;30251429;55161713;0;1903221;920440
DISPONIBILIDADES;1788819;306349;3684679;12406109;11564743;1493434;1166563;120340;336117;1821553;175981;5724450;4036530;7921700;0;210591;88745
Caja;75291;38150;137229;1425868;2175220;390481;28248;5258;62729;353236;34689;638802;916639;1904304;0;106259;1264
Banco Central;1537824;244424;3380107;8314975;8485844;733226;440978;62534;244146;1186374;133941;3681745;2446730;3198268;0;88773;55450
Bancos del País;128434;4513;592;0;35411;40346;21823;40386;5026;356;6190;36304;64866;24245;0;5873;30597
Bancos del Exterior;38955;7080;119917;2152445;528622;209058;657592;36;10541;185374;0;954010;348559;2282273;0;8309;77
Cheques a Compensar;8316;12182;46835;512822;338398;119626;17922;12127;13675;95271;1161;405394;255143;497918;0;1377;1357
Giros sobre el Exterior;0;0;0;0;1248;697;0;0;0;942;0;8196;4592;14692;0;0;0
INVERSIONES;1781626;453308;8634927;28755793;31535312;1963609;2192186;215342;440613;3482911;156600;4378659;3188046;22067279;0;433000;300054
En Títulos-Valores para Negociación;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
En Títulos-Valores para la Venta;1430752;39812;6330450;0;23955392;1193780;2188215;209684;316433;2463534;0;3200976;2017223;18293166;0;0;0
En Títulos-Valores para su Vencimiento;306961;403846;2045885;28624236;6708801;659646;0;5659;88581;1011127;156600;1165735;1177439;80255;0;433000;284929
Operaciones de Reporto;55000;10215;265164;121828;373621;110000;0;0;30000;0;0;35000;6000;3711438;0;0;10000
Certificados de Participación;0;0;0;17958;558571;0;0;0;0;0;0;0;0;0;0;0;0
Intereses Pagados en Compra de Valores;136;0;224;22859;34023;186;3971;0;5599;8250;0;9573;7678;7640;0;0;5124
SUMA;1792849;453874;8641723;28786882;31630408;1963612;2192186;215342;440613;3482911;156600;4411284;3208341;22092499;0;433000;300054
(-) Estimaciones por Valuación;11223;565;6796;31089;95096;4;0;0;0;0;0;32625;20294;25220;0;0;0
CARTERA DE CRÉDITOS;1412304;955888;14415611;56419036;33428237;6703273;2544;317232;1685427;10054869;921930;22193697;22243485;22403506;0;1161950;487689
