PERFIL FINANCIERO;EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;INMOBILIARIO, S. A.;DE LOS TRABAJADORES;INDUSTRIAL, S. A.;DE DESARROLLO RURAL, S. A.;INTERNACIONAL, S. A.;CITIBANK, N.A., SUCURSAL GUATEMALA;VIVIBANCO, S. A.;FICOHSA GUATEMALA, S. A.;PROMERICA, S. A.;DE ANTIGUA, S. A.;DE AMÉRICA CENTRAL, S. A.;AGROMERCANTIL DE GUATEMALA, S. A.;G&T CONTINENTAL, S. A.;AZTECA DE GUATEMALA, S. A.;INV, S. A.;CREDICORP, S. A.
ACTIVO;5356311;1972203;28416638;111009867;86113731;11173738;4130179;765157;3200302;17813585;1496359;35026529;31679116;56173977;1942997;930229;463326
DISPONIBILIDADES;592595;301806;3569776;13889585;11597423;1579203;1607514;136952;484732;2135200;199221;6679242;4115957;7963121;295170;143139;77519
Caja;70276;36145;147897;1642855;2122542;407154;36898;5925;71775;282133;39379;527598;725033;1294681;146565;1261;1372
Banco Central;441134;233197;3271764;10576233;8846730;946445;892846;81165;318981;1623620;149960;4528203;2972927;4948109;141241;116013;47047
Bancos del País;43486;12559;9557;0;43150;30948;12595;48543;13897;50261;9582;10399;90818;55;3409;24979;28737
Bancos del Exterior;36043;17620;116178;1538562;522073;161313;659824;36;75666;130388;0;1566335;257937;1609410;3709;886;0
Cheques a Compensar;1655;2286;24379;131935;62775;33177;5352;1284;4413;48639;300;45997;63672;103963;246;0;128
Giros sobre el Exterior;0;0;0;0;152;167;0;0;0;158;0;711;5570;6903;0;0;235
INVERSIONES;2203817;548529;8492452;34989706;37053980;2464017;2453911;266026;664886;3949264;320500;4265478;3490122;23149834;273741;299017;331217
En Títulos-Valores para Negociación;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
En Títulos-Valores para la Venta;1863767;40381;6922239;0;24077512;2240362;2452502;263443;580367;2437631;0;3984987;1983336;19803857;148741;0;33744
En Títulos-Valores para su Vencimiento;319762;498512;1122615;34479906;12115532;177958;0;2583;65065;1507174;320500;270205;1261126;138401;125000;282992;297958
Operaciones de Reporto;30000;10201;453777;523925;427460;45700;0;0;15000;0;0;36750;270000;3243615;0;11572;0
Certificados de Participación;0;0;0;15958;528571;0;0;0;0;0;0;0;0;0;0;0;0
Intereses Pagados en Compra de Valores;1511;0;616;3006;0;0;1410;0;4454;4459;0;6161;890;189;0;4452;0
SUMA;2215040;549094;8499248;35022795;37149076;2464021;2453911;266026;664886;3949264;320500;4298102;3515353;23186061;273741;299017;331703
(-) Estimaciones por Valuación;11223;565;6796;33089;95096;4;0;0;0;0;0;32625;25231;36227;0;0;486
CARTERA DE CRÉDITOS;1662298;997541;15470172;57824924;34169378;6795946;10112;291959;1847697;10641992;833008;23485378;23366694;22174492;1268146;446867;28287
Vigente;1688101;1001363;15670258;58675113;35122319;6927665;10579;295588;1850559;10907930;838636;23579350;23560339;22700201;1283146;449321;28664
Vencidos;169454;12874;273713;496600;1587521;65201;0;2169;58294;7045;47611;360911;610165;416430;66087;5839;1150
SUMA;1857555;1014237;15943971;59171713;36709840;6992866;10579;297757;1908853;10914975;886248;23940261;24170503;23116631;1349232;455160;29814
(-) Estimaciones Por Valuación;195256;16696;473799;1346789;2540462;196920;467;5799;61156;272983;53240;454882;803810;942139;81087;8293;1527
PRODUCTOS FINANCIEROS POR COBRAR;41048;11715;378529;601823;883333;60565;20829;1063;13277;132525;32171;190016;145661;387711;20723;5790;1902
CUENTAS POR COBRAR (Neto);306974;8919;33020;542881;36841;68551;14525;10683;33627;153911;25153;93716;67942;578572;27201;13205;6882
BIENES REALIZABLES (Neto);68244;8049;35968;76976;280356;19011;0;21336;3551;85863;83;39681;77599;133022;0;424;2327
INVERSIONES PERMANENTES (Neto);3420;3781;73886;588895;695502;51484;180;13984;3572;944;0;39955;55308;961128;0;510;0
OTRAS INVERSIONES (Neto);3572;0;0;330829;104350;1132;0;90;72;0;771;6008;18382;30770;0;0;8884
SUCURSALES, CASA MATRIZ Y DEPARTAMENTOS ADSCRITOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
INMUEBLES Y MUEBLES (Neto);273836;75714;241350;1531194;472653;79857;7541;20975;101244;564220;2938;183578;226178;597616;46765;20727;3351
CARGOS DIFERIDOS (Neto);200507;16149;121485;633055;819916;53972;15567;2088;47645;149666;82515;43476;115274;197711;11250;550;2958
PASIVO;5087142;1636625;24512437;101506303;78308326;10105272;3771462;612983;2874827;16038592;1304415;31934202;28902306;51111840;1339062;810130;410780
