PERFIL FINANCIERO;EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;INMOBILIARIO, S. A.;DE LOS TRABAJADORES;INDUSTRIAL, S. A.;DE DESARROLLO RURAL, S. A.;INTERNACIONAL, S. A.;CITIBANK, N.A., SUCURSAL GUATEMALA;VIVIBANCO, S. A.;FICOHSA GUATEMALA, S. A.;PROMERICA, S. A.;DE ANTIGUA, S. A.;DE AMÉRICA CENTRAL, S. A.;AGROMERCANTIL DE GUATEMALA, S. A.;G&T CONTINENTAL, S. A.;DE CRÉDITO, S. A.;AZTECA DE GUATEMALA, S. A.;INV, S. A.
ACTIVO;5713570;1717110;27168368;101047986;76932063;10228223;2921714;723639;2685160;15983636;1393239;31803378;30413863;54911354;0;1868622;929117
DISPONIBILIDADES;2109197;210345;3704687;13418288;10290872;1756859;1204923;119246;442028;1627023;173235;5092417;4084169;8066596;0;213567;114430
Caja;109606;31667;158775;1372858;1986275;300919;28890;4842;61534;313219;26663;591624;981705;1783534;0;118818;1533
Banco Central;1951838;153381;3393563;8165246;7810361;1298269;404129;64677;320035;1081865;138171;3616905;2158243;3124316;0;82733;65403
Bancos del País;4151;5662;11029;0;35686;35833;31852;33723;19509;1994;7205;14083;58846;30651;0;5174;45729
Bancos del Exterior;39793;9013;122060;3647659;332795;45299;729834;36;32050;164308;0;727878;758485;2951695;0;6060;0
Cheques a Compensar;3779;10622;19259;232525;123642;76334;10218;15968;8901;64509;1196;140825;118702;171162;0;783;1764
Giros sobre el Exterior;31;0;0;0;2114;206;0;0;0;1128;0;1100;8188;5239;0;0;0
INVERSIONES;1529366;419418;8301983;27645939;30254377;1478718;1663462;214203;404272;3578500;138500;3830685;3138235;20743971;0;398841;276096
En Títulos-Valores para Negociación;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
En Títulos-Valores para la Venta;1155741;39906;6388111;0;21557810;1233727;1663064;211532;279860;2551284;0;3074895;1983536;17679215;0;295841;0
En Títulos-Valores para su Vencimiento;304712;369866;1528595;27535105;7901670;164809;0;2671;88908;1011192;138500;753017;1172714;80190;0;103000;271139
Operaciones de Reporto;80000;10211;391782;121504;329099;80000;0;0;30000;0;0;35000;0;3005204;0;0;0
Certificados de Participación;0;0;0;17958;558571;0;0;0;0;0;0;0;0;0;0;0;0
Intereses Pagados en Compra de Valores;136;0;291;2461;2323;186;398;0;5504;16024;0;398;2134;4583;0;0;4957
SUMA;1540589;419983;8308779;27677028;30349473;1478722;1663462;214203;404272;3578500;138500;3863310;3158384;20769192;0;398841;276096
(-) Estimaciones por Valuación;11223;565;6796;31089;95096;4;0;0;0;0;0;32625;20149;25220;0;0;0
CARTERA DE CRÉDITOS;1362442;962137;14295872;55594262;33330478;6665850;2344;321113;1673195;9931434;947247;22243210;22402780;23534664;0;1160645;496566
Vigente;1415006;963801;14391937;56190598;34040547;6770036;2766;321756;1673367;10113042;964342;22243944;22594191;23839307;0;1160645;497913
Vencidos;187021;12057;184332;551872;1663253;55524;53;3615;43701;85472;54145;375619;428252;564981;0;14616;4349
SUMA;1602027;975858;14576269;56742470;35703799;6825560;2819;325371;1717068;10198513;1018487;22619563;23022442;24404288;0;1175261;502262
(-) Estimaciones Por Valuación;239585;13721;280397;1148208;2373321;159710;475;4257;43873;267079;71240;376354;619663;869624;0;14616;5697
PRODUCTOS FINANCIEROS POR COBRAR;33261;9593;404252;544472;642207;66190;26632;4242;14379;97542;26318;207224;192635;314908;0;14938;7929
CUENTAS POR COBRAR (Neto);217355;9317;20951;675854;97425;42993;9868;10234;8679;126561;29429;61800;87508;255559;0;14760;11515
BIENES REALIZABLES (Neto);64219;10889;38290;88065;366936;30032;0;16342;3108;65976;59;57727;148410;209764;0;0;424
INVERSIONES PERMANENTES (Neto);3321;3781;73886;588895;538069;51285;180;13984;3214;944;0;39474;55873;961128;0;0;510
OTRAS INVERSIONES (Neto);2724;0;0;301360;100335;795;0;111;3;0;769;5820;17273;28867;0;0;0
SUCURSALES, CASA MATRIZ Y DEPARTAMENTOS ADSCRITOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
INMUEBLES Y MUEBLES (Neto);279876;78274;195904;1485144;490582;83815;7888;21906;94944;422856;2555;184178;206087;625778;0;48026;20556
CARGOS DIFERIDOS (Neto);111808;13355;132542;705708;820782;51685;6419;2258;41338;132801;75126;80843;80892;170119;0;17846;1092
PASIVO;5547897;1397002;23701138;92831615;69302293;9299932;2555597;570102;2405510;14510195;1187866;28738304;27792795;50099359;0;1232388;810796
OBLIGACIONES DEPOSITARIAS;3173774;1355705;21226407;69272010;63378038;8535120;2459257;527236;2119364;12931703;1125744;26065626;21812222;41230061;0;1026213;458088
Depósitos Monetarios;1313484;336365;1349504;29591143;22659936;2895846;2388650;54509;322060;2763185;0;11276683;6679347;16961995;0;560611;19316
Depósitos de Ahorro;730521;302300;2726690;15942179;19197822;1716772;0;141137;120091;1215182;73388;3347735;6221879;12703866;0;0;19389
Depósitos a Plazo;1111875;714590;17126537;23407164;21268636;3883423;62664;330694;1676066;8912814;1051453;11388958;8796544;11429461;0;459018;419342
Depósitos a la Orden;6480;214;13;27557;163941;14884;0;52;4;3985;621;12452;50345;0;0;33;0
Depósitos con Restricciones;11415;2236;23663;303967;87703;24196;7944;845;1143;36537;283;39799;64106;134739;0;6550;41
CRÉDITOS OBTENIDOS;0;0;1153424;20728278;3365566;501355;0;7330;167488;677243;0;1798170;5094287;7167085;0;0;14610
Del Banco Central;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
De Instituciones Financieras Nacionales;0;0;0;0;0;0;0;0;114447;0;0;0;0;0;0;0;14610
De Instituciones Financieras Extranjeras;0;0;1153424;20438002;3365566;501355;0;7330;53041;402618;0;1781083;4133101;6878917;0;0;0
Organismos Internacionales;0;0;0;290276;0;0;0;0;0;274625;0;17088;961186;288168;0;0;0
OBLIGACIONES FINANCIERAS;1280;0;0;65800;0;400;0;0;35050;0;0;0;6306;0;0;0;323925
GASTOS FINANCIEROS POR PAGAR;30421;8747;22349;354680;281715;37436;9;1408;4993;85875;9280;165452;218443;124079;0;4576;3863
CUENTAS POR PAGAR;2244208;21937;746470;795028;1086148;86671;54092;13805;52366;251051;33268;424576;360344;473533;0;76765;6665
PROVISIONES;54425;2660;109462;69877;683132;50333;42199;2031;20934;46878;19500;62930;140157;37086;0;81287;1833
SUCURSALES, CASA MATRIZ Y DEPARTAMENTOS ADSCRITOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OTRAS OBLIGACIONES;0;0;0;1422556;0;23068;0;0;0;422922;0;0;0;961186;0;0;0
CRÉDITOS DIFERIDOS;4885;3766;112762;83457;68568;27486;40;5708;4797;34928;68;36027;91321;54610;0;31874;468
SUMA;5508993;1392815;23370874;92791686;68863167;9261870;2555597;557518;2404993;14450600;1187860;28552781;27723080;50047640;0;1220716;809452
OTRAS CUENTAS ACREEDORAS;38904;4186;330265;39929;439126;38062;0;12584;517;59595;5;185523;69715;51719;0;11672;1343
CAPITAL CONTABLE;165673;320108;3467229;8216371;7629770;928291;366117;153537;279650;1473441;205373;3065074;2621068;4811995;0;636234;118321
CAPITAL PAGADO;15000;289606;199837;2404594;1170334;641790;84982;126500;207718;598159;125176;1029766;1233375;2268012;0;105001;109000
Capital Autorizado;15000;600000;200000;4000000;5000000;1000000;0;300000;450000;1500000;160000;2800000;2000000;3000000;0;200000;500000
(-) Capital No Pagado;0;310394;163;1595406;3829666;358210;0;173500;242282;901841;34824;1770234;766625;731988;0;94999;391000
Casa Matriz, Capital Asignado;0;0;0;0;0;0;84982;0;0;0;0;0;0;0;0;0;0
APORTACIONES PERMANENTES;219653;0;8;1525755;55740;41;0;0;0;0;0;0;510498;553476;0;0;0
RESERVA DE CAPITAL;788882;13895;2909007;3550385;6138099;234895;35048;12136;14721;429311;11137;384523;345015;1736557;0;494499;841
RESERVAS PARA ACTIVOS EXTRAORDINARIOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
REVALUACIÓN DE ACTIVOS;160757;65002;36817;56018;23155;12757;0;10636;0;11090;0;24517;22535;0;0;0;0
OBLIGACIONES SUBORDINADAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GANANCIAS Y PÉRDIDAS POR FUSIÓN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VALUACIÓN DE ACTIVOS DE RECUPERACIÓN DUDOSA;70986;38437;0;0;0;0;0;300;2789;62562;25000;0;48447;0;0;0;0
PROVISION DE BENEFICIOS A EMPLEADOS;0;0;0;0;174275;0;8378;0;0;0;0;0;0;0;0;0;0
