PERFIL FINANCIERO;EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;INMOBILIARIO, S. A.;DE LOS TRABAJADORES;INDUSTRIAL, S. A.;DE DESARROLLO RURAL, S. A.;INTERNACIONAL, S. A.;CITIBANK, N.A., SUCURSAL GUATEMALA;VIVIBANCO, S. A.;FICOHSA GUATEMALA, S. A.;PROMERICA, S. A.;DE ANTIGUA, S. A.;DE AMÉRICA CENTRAL, S. A.;AGROMERCANTIL DE GUATEMALA, S. A.;G&T CONTINENTAL, S. A.;AZTECA DE GUATEMALA, S. A.;INV, S. A.;CREDICORP, S. A.
ACTIVO;4997677;1945686;28029407;107179306;84433466;11090004;4229056;784319;2846268;17681466;1482883;34342100;32020230;55685038;1917869;939617;416242
DISPONIBILIDADES;581751;298104;3458793;13344274;11141822;1673922;1446459;176862;490354;2140164;195411;5253419;4139150;8015822;276346;131299;47481
Caja;91197;61972;138796;1611052;2093076;397869;35231;5818;86289;522400;23295;600773;936998;1378456;131208;1511;944
Banco Central;397545;199730;3229041;8843239;8173495;1001798;621580;81507;340166;1258976;163488;3754471;2419336;4904282;132587;97231;17528
Bancos del País;43688;7796;4371;0;27318;32090;30614;85821;6507;1573;7351;15280;50116;6546;6559;30238;28149
Bancos del Exterior;37925;15370;69643;2584453;733624;158914;722374;36;48748;291781;0;755597;580691;1482584;5017;124;0
Cheques a Compensar;11393;13231;16943;305529;113210;82730;36661;3680;8644;64796;1277;125053;149053;229316;976;2195;597
Giros sobre el Exterior;2;4;0;0;1101;521;0;0;0;638;0;2245;2957;14638;0;0;263
INVERSIONES;2290797;540581;8527819;32565107;35978062;2638697;2707667;225594;364683;4155790;272000;6304647;4253057;23132360;301352;253569;313300
En Títulos-Valores para Negociación;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
En Títulos-Valores para la Venta;1988866;41114;6869800;0;24310702;2237518;2707187;222944;253787;3144036;0;4511101;2956511;19608109;273352;0;20926
En Títulos-Valores para su Vencimiento;313018;489746;1321964;32367175;10813223;187584;0;2650;71838;1011755;272000;1756489;1220742;140361;28000;249204;292864
Operaciones de Reporto;0;10286;342624;211971;420662;213096;0;0;38000;0;0;66256;93769;3417386;0;0;0
Certificados de Participación;0;0;0;15958;528571;0;0;0;0;0;0;0;0;0;0;0;0
Intereses Pagados en Compra de Valores;136;0;227;1092;0;502;480;0;1059;0;0;3426;6611;143;0;4365;0
SUMA;2302020;541146;8534615;32596196;36073159;2638700;2707667;225594;364683;4155790;272000;6337272;4277632;23165999;301352;253569;313790
(-) Estimaciones por Valuación;11223;565;6796;31089;95096;4;0;0;0;0;0;32625;24576;33640;0;0;489
CARTERA DE CRÉDITOS;1488262;980651;15138189;56760146;34006402;6429853;8773;307219;1802975;10282689;856543;22072170;22819022;21803288;1211826;509320;32186
