PERFIL FINANCIERO;EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;INMOBILIARIO, S. A.;DE LOS TRABAJADORES;INDUSTRIAL, S. A.;DE DESARROLLO RURAL, S. A.;INTERNACIONAL, S. A.;CITIBANK, N.A., SUCURSAL GUATEMALA;VIVIBANCO, S. A.;FICOHSA GUATEMALA, S. A.;PROMERICA, S. A.;DE ANTIGUA, S. A.;DE AMÉRICA CENTRAL, S. A.;AGROMERCANTIL DE GUATEMALA, S. A.;G&T CONTINENTAL, S. A.;DE CRÉDITO, S. A.;AZTECA DE GUATEMALA, S. A.;INV, S. A.
ACTIVO;5150878;1894307;29184911;106787577;83741783;10795303;4110371;774077;2796938;17095036;1459073;33914821;32026580;55939767;0;1914408;948356
DISPONIBILIDADES;915374;290987;4555488;12701681;11534181;1645211;1396035;164991;434167;2427918;186097;5422726;4395061;8171885;0;249955;126595
Caja;80685;43958;136079;1519140;2230775;360597;29380;5566;76409;496156;21877;580085;938289;1377537;0;110588;1611
Banco Central;703875;201153;4257253;8779763;8574190;1110468;482340;70711;256183;1657104;153329;3759791;2587864;4928782;0;127310;86353
Bancos del País;85762;7795;5384;0;95755;35538;13602;77768;10565;34321;5148;19631;45415;26442;0;7120;29586
Bancos del Exterior;35859;14950;122656;2007383;460836;38700;858860;36;68778;105165;0;902671;611635;1563040;0;4737;85
Cheques a Compensar;9193;23131;34115;395395;168629;98652;11853;10911;22231;105468;5743;158568;200376;267263;0;200;8959
Giros sobre el Exterior;0;0;0;0;3996;1257;0;0;0;29705;0;1979;11480;8822;0;0;0
INVERSIONES;2148853;511664;8728593;32715071;35024809;2635474;2645634;230726;450002;3466548;250000;6135580;4312227;22852550;0;353352;258984
En Títulos-Valores para Negociación;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
En Títulos-Valores para la Venta;1848848;41232;6867797;0;24357987;1757424;2645155;224773;334363;2549974;0;4368238;3035915;19277573;0;273352;0
En Títulos-Valores para su Vencimiento;311093;460766;1547244;32622510;9814221;515257;0;5953;84451;916574;250000;1729470;1211577;140090;0;80000;254703
Operaciones de Reporto;0;10231;320120;106484;417812;362295;0;0;30000;0;0;66184;81078;3466565;0;0;0
Certificados de Participación;0;0;0;15958;528571;0;0;0;0;0;0;0;0;0;0;0;0
Intereses Pagados en Compra de Valores;136;0;227;1207;1313;502;479;0;1188;0;0;4313;6922;142;0;0;4280
SUMA;2160077;512229;8735388;32746160;35119905;2635478;2645634;230726;450002;3466548;250000;6168205;4335493;22884370;0;353352;258984
(-) Estimaciones por Valuación;11223;565;6796;31089;95096;4;0;0;0;0;0;32625;23266;31820;0;0;0
CARTERA DE CRÉDITOS;1463707;967016;15021563;56804727;33856239;6174066;7068;303731;1734740;10106007;861997;21662033;22519366;22089541;0;1177374;515909
Vigente;1521979;968698;15133297;57643666;34710154;6315821;7537;304977;1741224;10468303;928608;21779073;22828122;22471030;0;1184374;518098
Vencidos;186170;11848;173016;548508;1793668;54201;0;3664;20280;898;930;347895;372751;505496;0;43068;4313
SUMA;1708149;980547;15306313;58192175;36503822;6370022;7537;308641;1761504;10469201;929538;22126968;23200873;22976525;0;1227442;522411
(-) Estimaciones Por Valuación;244442;13530;284750;1387448;2647583;195956;468;4910;26764;363194;67540;464935;681507;886984;0;50068;6501
