PERFIL FINANCIERO;EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;INMOBILIARIO, S. A.;DE LOS TRABAJADORES;INDUSTRIAL, S. A.;DE DESARROLLO RURAL, S. A.;INTERNACIONAL, S. A.;CITIBANK, N.A., SUCURSAL GUATEMALA;VIVIBANCO, S. A.;FICOHSA GUATEMALA, S. A.;PROMERICA, S. A.;DE ANTIGUA, S. A.;DE AMÉRICA CENTRAL, S. A.;AGROMERCANTIL DE GUATEMALA, S. A.;G&T CONTINENTAL, S. A.;DE CRÉDITO, S. A.;AZTECA DE GUATEMALA, S. A.;INV, S. A.
ACTIVO;5329524;1911577;28563518;103231345;82010767;10755490;4302805;755784;2787223;16860650;1446982;33468688;31390052;54811968;0;1918901;939945
DISPONIBILIDADES;930172;280102;4328198;13047334;10278560;1476954;1529617;153428;422574;2491517;184360;5407855;3634964;7845728;0;206755;115893
Caja;92418;45536;144570;1415111;2037519;320926;29515;5642;75058;420720;26005;561211;981998;1285698;0;94875;1641
Banco Central;793263;205949;4042483;7672356;7762097;940924;455855;72220;289580;1512212;146646;3644455;2182939;4362669;0;99650;78038
Bancos del País;257;10044;95;0;82623;31751;12263;70711;2417;1162;8056;47565;27668;39787;0;7017;28205
Bancos del Exterior;40657;13503;120755;3692000;275796;100717;1021037;36;43937;503373;0;935481;264664;1974033;0;4473;161
Cheques a Compensar;3577;5071;20294;267867;114941;81505;10947;4818;11582;53420;3654;217664;176220;171931;0;740;7848
Giros sobre el Exterior;0;0;0;0;5584;1131;0;0;0;630;0;1479;1475;11611;0;0;0
INVERSIONES;2337714;537837;8551933;29691456;34983037;2554765;2666939;223367;472391;3344933;233000;6093013;5391050;22421747;0;417000;271010
En Títulos-Valores para Negociación;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
En Títulos-Valores para la Venta;2038838;41385;6860304;0;24390412;1272187;2666740;217409;352123;2324952;0;3897382;4106463;18905710;0;0;0
En Títulos-Valores para su Vencimiento;309964;486786;1391427;29575479;9810164;1085980;0;5959;84848;1011732;233000;2157704;1201391;81024;0;417000;266322
Operaciones de Reporto;0;10231;299271;106546;297792;196100;0;0;30000;0;0;66144;98493;3444700;0;0;0
Certificados de Participación;0;0;0;15958;558571;0;0;0;0;0;0;0;0;0;0;0;0
Intereses Pagados en Compra de Valores;136;0;7727;24562;21193;501;199;0;5420;8250;0;4407;7681;19480;0;0;4688
SUMA;2348938;538402;8558728;29722545;35078133;2554769;2666939;223367;472391;3344933;233000;6125637;5414028;22450914;0;417000;271010
(-) Estimaciones por Valuación;11223;565;6796;31089;95096;4;0;0;0;0;0;32625;22978;29167;0;0;0
CARTERA DE CRÉDITOS;1449857;968397;14836803;55949728;33485358;6383340;4435;305575;1714229;9937888;867512;21259906;21609296;21639846;0;1163594;505088
Vigente;1508328;970348;14954607;56731814;34341996;6521642;4908;305859;1720656;10252230;942826;21297239;21896797;21984150;0;1167094;505907
Vencidos;186164;11581;168491;568887;1775126;53180;0;4126;18824;47202;2726;376391;377233;526001;0;35440;5313
SUMA;1694492;981929;15123097;57300701;36117122;6574822;4908;309985;1739481;10299432;945552;21673629;22274030;22510151;0;1202534;511220
